County,amer_indian,black,hispanic,asian,multi_race,pac_island,white,poverty,labor_force,unemployed,median_income
Alameda,4089,164053,364036,541582,70157,13020,481109,152654,831600,37400,108971
Amador,593,1041,6183,626,1047,92,30506,4104,14570,740,68159
Butte,3259,3442,38515,10757,8041,460,143141,33874,91100,4900,62982
Calaveras,556,400,6321,730,1539,89,35109,6198,22510,950,68298
Colusa,291,158,13360,282,269,60,7550,2466,10550,1000,60725
Contra Costa,3105,98765,305190,215654,49340,5535,466451,100948,553600,24900,110595
Del Norte,1862,967,5052,1016,945,30,16264,5368,9480,560,48108
El Dorado,1412,1721,25868,9619,6338,316,142857,16839,93900,3900,87689
Fresno,5822,46942,554720,109886,20015,1562,276846,193449,458400,32300,63140
Glenn,468,229,12609,741,505,34,14174,4397,12240,800,56741
Humboldt,6975,1679,17321,3784,6638,386,97521,25781,58800,2900,53924
Imperial,1343,4131,154215,2117,1004,142,16838,29738,71900,14200,50970
Inyo,2012,169,4582,265,515,19,11339,2382,8360,320,62381
Kern,5309,46510,509761,44728,18003,1097,284704,164169,397400,32000,57926
Kings,1384,9500,86302,5776,3504,314,45560,24295,57500,4400,60810
Lake,1757,1144,16096,838,2393,178,44996,11196,28160,1570,55801
Lassen,782,2274,5861,391,891,220,18144,4805,8760,420,56923
Los Angeles,18288,774678,4764535,1466206,221454,21481,2483423,1365808,5004300,292000,77356
Madera,1603,4731,95416,3528,2609,193,50196,31044,64700,4600,60241
Marin,484,5983,42278,16825,8818,433,176987,19734,132300,4900,118472
Mariposa,454,178,2331,255,507,29,13234,2387,7700,370,60377
Mendocino,3478,680,24320,1880,2541,122,56071,14539,36630,1700,57516
Merced,1232,8472,181348,20600,5545,624,71891,61359,116100,10000,54703
Modoc,277,93,1365,68,219,24,6624,1688,3230,160,49273
Mono,254,104,3593,310,277,46,8599,1278,9160,350,70945
Monterey,1243,10007,261103,24738,10222,1866,123960,50725,237300,11700,81404
Napa,487,2549,47783,11732,3431,373,68225,11814,72000,2600,94127
Nevada,803,534,10138,1435,2849,170,83867,12141,47630,1990,77220
Orange,6127,54025,1067103,701414,91338,8683,1211785,309402,1592500,62600,100210
Placer,2232,7611,62605,36534,16369,940,286753,26816,195700,7800,103588
Plumas,383,183,1930,165,645,28,15575,2545,7520,430,58154
Riverside,11350,153510,1258192,168829,60089,7620,788052,282068,1143100,61800,78690
Sacramento,7690,151708,379548,267232,81229,18208,661947,203413,734900,34500,79611
San Benito,266,745,41187,2595,1241,160,20257,5899,32500,1800,95187
San Bernardino,8121,175551,1217877,173233,48725,6916,558853,285474,999400,51000,74218
San Diego,13806,154587,1144893,403747,118802,13879,1443449,340522,1594100,68400,90756
San Francisco,1690,42618,129499,301553,31667,3205,320040,90898,578400,20600,119776
San Joaquin,3298,55683,337646,135117,28383,5116,223036,95382,345900,21500,79598
San Luis Obispo,1334,4487,66736,10514,7509,348,190044,35120,138100,5100,79688
San Mateo,1036,16216,174620,229299,28715,9240,273955,49900,457100,15200,131151
Santa Barbara,1829,7579,210360,23839,11134,771,190857,65029,226100,8800,83185
Santa Clara,3821,45110,465222,750276,61047,7166,544886,128955,1051800,40700,141161
Santa Cruz,1069,2683,91706,12185,8204,327,150009,27132,135800,6900,90370
Shasta,4086,1951,20313,5750,7148,282,139925,25141,73000,3700,60187
Siskiyou,1712,564,6001,705,2074,106,32367,7301,17230,1000,50069
Solano,1828,59248,126596,70934,24542,3893,156507,44037,202000,9900,87348
Sonoma,3319,7938,136073,21614,14723,1572,293978,43661,250100,9600,92999
Stanislaus,2716,14995,271156,30994,15653,3994,209193,76921,241200,15700,73151
Tehama,1183,529,17753,892,1841,112,42361,10107,25770,1560,53654
Trinity,645,91,1220,340,738,32,12899,3010,4650,240,45508
Tulare,3305,6237,317073,16086,7027,440,126312,88367,209400,20600,57398
Tuolumne,780,863,6979,711,1507,136,41956,6848,20280,1040,61396
Ventura,2418,14826,362700,62245,21220,1490,359527,73968,412100,19100,95819
Yolo,1134,5827,72548,33189,10072,909,99788,30708,110400,5100,76247
Yuba,1231,3306,25190,5959,4083,360,42844,12784,32300,2000,60764
